mention,source,time,compound,percentChange
msft,stockcharts,2023-11-07 10:01:35.688719,0.9985,"[1.0573228645188484, 0.35893393623524317, 2.857545827952353]"
mdlz,stockcharts,2023-11-07 10:01:35.688719,0.9985,"[0.5389586437926347, 0.4224339535054817, 0.6846339552169554]"
xhb,stockcharts,2023-11-07 10:01:35.688719,0.9985,"[0.7200878129557672, -0.5760602616309065, 1.4925365680049474]"
ief,stockcharts,2023-11-07 10:01:35.688719,-0.8364,"[0.6565253070666444, -0.33920293321378747, -0.22978344006471504]"
nvda,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[1.8701169639125086, 2.6925342839646644, 5.721910698487345]"
xlp,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[-0.1742089459528043, -0.5807112549856068, 0.11614668153999912]"
xlre,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[-0.11567644132228123, -1.6483617100609602, -0.5494575805245263]"
xlu,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[-1.5065613349623712, -2.8025264135189953, -2.2841403820963455]"
xlc,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[-0.08892291790633958, -0.11855635310437085, 1.46709812465919]"
xlf,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[0.2680057563528679, -0.1489072335653354, 0.9827218533747687]"
xlk,stockcharts,2023-11-07 10:01:35.688719,0.9992,"[1.3960185080698615, 0.922982860335829, 3.5592719652175324]"
btc,stockcharts,2023-11-07 10:01:35.688719,0.9942,"[0.12786419877084781, -0.31410837604239056, -0.2473980954656011]"
qqq,stockcharts,2023-11-07 10:01:35.688719,0.9824,"[0.7210990647248452, -0.05400969438161537, 2.193001289787437]"
spy,stockcharts,2023-11-07 10:01:35.688719,0.7805,"[0.3580521815630934, -0.42461522944043756, 1.1292393404913885]"
oef,stockcharts,2023-11-07 10:01:35.688719,0.7805,"[0.6981830018939394, -0.17939157196969696, 1.5078790838068183]"
dia,stockcharts,2023-11-07 10:01:35.688719,0.7805,"[0.11445546863643402, -0.47545727776548247, 0.6691511477656016]"
$spx,stockcharts,2023-11-07 10:01:35.704344,0.9952,[]
$indu,stockcharts,2023-11-07 10:01:35.704344,0.9952,[]
$compq,stockcharts,2023-11-07 10:01:35.704344,0.9952,[]
$vix,stockcharts,2023-11-07 10:01:35.704344,0.9952,[]
tfc,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-0.3278701031794313, -4.426230758917137, -3.639346263447746]"
mtb,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-1.36375035541099, -3.0085126489108203, -2.1819980463351882]"
fhn,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-1.305479734710874, -3.3072247346436434, -1.7406424129604092]"
zion,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-0.9970679407681525, -4.545452511491637, -3.460411606972059]"
wal,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-1.9049643972484536, -5.993157060357785, -5.329626741027133]"
vrt,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-0.024955428576649712, -0.27445260809926436, 4.366267265596953]"
pltr,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-1.9618283523825473, -3.1283145996509734, 4.294800846919399]"
app,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[0.29999732971191406, -0.7999992370605469, 9.47500228881836]"
edu,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[3.862593556178435, 3.2366454146290553, 3.6183248039420324]"
splk,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[0.06139107875958175, -0.0477370534446858, 0.2591767122272629]"
dis,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[0.4039880264925637, 7.3431468712775425, 4.883546580461281]"
wbd,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-17.90393209505593, -15.807855861078385, -11.52838180622587]"
bntx,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[0.26167686657942824, -0.04025857013045988, 0.20128517211517746]"
hgv,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-0.17538018181643822, -2.2800315702168588, -1.695404945569476]"
gild,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-3.9101988169215396, -7.512022154700255, -6.352536752516726]"
hood,stockcharts,2023-11-07 10:01:35.704344,0.9952,"[-12.955254214749404, -17.481788640557557, -14.36004332718225]"
sbux,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[0.06715887227260867, -1.9188332875237846, 0.0959402004225702]"
shop,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[3.360792240340253, -0.5436603408680203, 1.0543647143398238]"
ci,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[-4.016764386855116, -6.109644897804144, -4.712229177685582]"
aapl,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[2.070547419086176, 1.8026627516235565, 4.029468420487893]"
coin,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[2.4594000251008863, 7.726222619367723, 7.79582535801953]"
sq,stockcharts,2023-11-07 10:01:35.704344,0.4019,"[5.160443682161631, 2.705959876186006, 3.6113028927077386]"
nflx,stockcharts,2023-11-07 10:01:35.704344,0.6755,"[0.10775396134514668, -0.23614076679176976, 2.535649902405038]"
mcd,stockcharts,2023-11-07 10:01:35.704344,0.6755,"[-0.48735030434700666, -0.7031191282326438, -0.37573634446172915]"
amzn,stockcharts,2023-11-07 10:01:35.704344,0.9971,"[1.0885796841523012, 0.03557669916193369, 2.141582669142669]"
wmt,stockcharts,2023-11-07 10:01:35.704344,0.9971,"[-0.886771540578004, -1.1160077552238823, 0.2533619823372871]"
cost,stockcharts,2023-11-07 10:01:35.704344,0.9971,"[-0.8943222912117904, -1.6122236626637556, 0.8069860466703056]"
tgt,stockcharts,2023-11-07 10:01:35.704344,0.9971,"[-0.8842401342079521, -3.645223178544901, -2.2557069012873527]"
spx,stockcharts,2023-11-07 10:01:35.704344,0.7906,[]
vix,stockcharts,2023-11-07 10:01:35.704344,0.7906,[]
xlk,stockcharts,2023-11-07 10:01:35.704344,0.7906,"[1.3960185080698615, 0.922982860335829, 3.5592719652175324]"
googl,BBC,2023-11-07 10:17:16.805384,0.34,"[0.8645012363108964, -0.359575546294622, 1.4382905114058013]"
work,WSJ,2023-11-07 10:21:38.682222,0.0,[]
tsla,WSJ,2023-11-07 10:21:38.690024,0.0,"[0.9682720811808102, -4.545867894454237, -2.42294842011738]"
fb,WSJ,2023-11-07 10:21:38.691299,0.34,[]
maersk,WSJ,2023-11-07 10:21:38.691299,-0.5106,[]
msft,WSJ,2023-11-07 10:21:38.691299,0.5719,"[1.0573228645188484, 0.35893393623524317, 2.857545827952353]"
amzn,WSJ,2023-11-07 10:21:38.691299,0.5719,"[1.0885796841523012, 0.03557669916193369, 2.141582669142669]"
googl,WSJ,2023-11-07 10:21:38.691299,0.5719,"[0.8645012363108964, -0.359575546294622, 1.4382905114058013]"
cvs,WSJ,2023-11-07 10:21:38.691299,0.128,"[-3.114429415143897, -5.947014198350713, -4.62232077454268]"
wba,WSJ,2023-11-07 10:21:38.691299,0.128,"[-3.669721399349996, -6.192653767739873, -4.770637819154996]"
svb financial group (sivb),CNN,2023-11-07 10:25:28.994540,-0.4404,[]
nke,CNN,2023-11-07 10:25:29.002029,0.4404,"[1.9288107535505794, -0.2981734026594966, -1.1274684009629303]"
infy,CNN / Business and Economis,2023-11-07 10:26:24.128694,-0.5267,"[-0.7738045635134635, -2.6190395636349435, -1.0119052619891058]"
aapl,CNN / Business and Economis,2023-11-07 10:26:24.128694,0.5423,"[2.070547419086176, 1.8026627516235565, 4.029468420487893]"
vz,CNN / Business and Economis,2023-11-07 10:26:24.135497,-0.7469,"[0.19607757234808287, -0.22409476006997245, 0.028006502295603558]"
tsla,CNN / Business and Economis,2023-11-07 10:26:24.136575,0.4215,"[0.9682720811808102, -4.545867894454237, -2.42294842011738]"
uber,CNN / Business and Economis,2023-11-07 10:26:24.136575,0.2023,"[5.319148936170213, 6.489360078852227, 9.744684746924866]"
aapl,CNN / Business and Economis,2023-11-07 10:26:24.136575,-0.4767,"[2.070547419086176, 1.8026627516235565, 4.029468420487893]"
shldq,CNN / Business and Economis,2023-11-07 10:26:24.136575,0.0,[]
nke,CNN / Business and Economis,2023-11-07 10:26:24.136575,0.128,"[1.9288107535505794, -0.2981734026594966, -1.1274684009629303]"
twx,CNN / Business and Economis,2023-11-07 10:26:24.136575,0.2023,[]
dd,Marketwatch / Stocks to watch,2023-11-07 10:28:27.503737,0.5994,"[-0.9985453361046474, -1.8379112461804723, -0.5209849758338094]"
nke,Marketwatch / Stocks to watch,2023-11-07 10:28:27.503737,0.5994,"[1.9288107535505794, -0.2981734026594966, -1.1274684009629303]"
kbh,Marketwatch / Stocks to watch,2023-11-07 10:28:27.503737,0.5994,"[0.8882762816716447, -0.6513975865601573, 0.9080124079316487]"
bbby,Marketwatch / Stocks to watch,2023-11-07 10:28:27.506424,0.5994,[]
